id,x,y,z,x_transformed,y_transformed,z_transformed
219,13.6769,1.07502,1.2728,-0.9425791521205537,14.32628921004016,0.584698219941234
220,19.3296,1.29532,1.54105,-1.0657575557789445,19.98708046031369,0.46732299172484304
221,19.4517,1.05491,1.56198,-0.8229554831013496,20.1060506946076,0.47337938136849167
222,19.5638,1.44237,1.61076,-1.2070915280385748,20.228083036488485,0.52455316875084
223,19.7112,1.18451,1.59149,-0.9475601269168387,20.369219958551906,0.48830825790458415
224,25.3151,1.44801,1.89557,-1.113698149261974,25.984559846868727,0.4111836664355809
225,25.3993,1.19053,1.89504,-0.8550294224396949,26.063949453459227,0.3980059796299522
226,25.5258,1.53016,1.71966,-1.1973364100699297,26.184105572796977,0.22337103322687485
227,25.6708,1.28684,1.8228,-0.9489872994598496,26.3315117514885,0.30975170087158466
228,31.3315,1.52984,2.05466,-1.0957346552265115,31.9981862437048,0.15613541774835088
229,31.4977,1.31232,2.10368,-0.8743344970692861,32.16347987975582,0.18776348517255936
230,31.5585,1.70838,2.05707,-1.270519595866117,32.22794355773652,0.14758317391759146
231,31.7331,1.46507,2.07426,-1.0240905005598018,32.39897341166585,0.14620395260674304
232,37.2515,1.6399,2.24859,-1.1065501673613147,37.91854790553957,-0.056756259577030455
233,37.4164,1.41985,2.30239,-0.8825095870744841,38.08282821929958,-0.02033855240519644
234,37.4321,1.81438,2.3896,-1.2741760322797977,38.111467431922435,0.07601074027812238
235,37.6386,1.60272,2.34707,-1.0605283485084256,38.31077691470294,0.01370982701919593
236,43.3757,1.81809,2.84014,-1.1712185980902523,44.07110615811036,0.11457284300083387
237,43.3714,1.52735,2.82776,-0.881037358216186,44.0608155774708,0.09481293472042013
238,43.4333,1.80656,2.55938,-1.1665531408419525,44.10907774488361,-0.16970390702734905
239,43.5974,1.56013,2.64809,-0.915192341776709,44.27448985905128,-0.09911637144305552
240,48.6633,1.76592,2.8533,-1.0349127297177894,49.345372634429665,-0.23918201777356607
241,48.8734,1.58301,2.89486,-0.8476157274536211,49.554556697909995,-0.21711003941374551
242,48.8492,1.97618,2.78798,-1.2439276730810804,49.530044586052625,-0.31159613058736524
243,49.0694,1.78571,2.8423,-1.0485612513772449,49.750045470979664,-0.27769782381603947
244,52.6664,1.88496,3.00168,-1.0863436346005821,53.350691867448944,-0.3647585268383374
245,52.8734,1.71544,3.06359,-0.9119156540234947,53.558418363446876,-0.3218229826794561
246,52.7907,2.10925,3.135,-1.3048592624161837,53.48780761819914,-0.23444771456030494
247,53.0392,1.94912,3.13074,-1.1409904162085043,53.73255226643651,-0.2601201297512527
248,61.4093,2.16829,3.53086,-1.2163237059796659,62.11293695713539,-0.43385223574242027
249,61.4068,1.89968,3.50818,-0.9485177868538877,62.104126665857,-0.4634213572847853
250,61.1523,2.18347,3.38291,-1.239664232483123,61.84669361101004,-0.5632289545388294
251,61.1564,1.88576,3.39817,-0.9416183316451154,61.84655635881088,-0.5561902149148462
252,67.2663,2.24531,3.76996,-1.1938641366328306,67.97297355124219,-0.5982194279493945
253,67.3531,1.97482,3.72945,-0.9232574832799152,68.05198077283227,-0.6517921663314312
254,67.4397,2.32438,3.5515,-1.2761928939538802,68.1323368134619,-0.8259686823338056
255,67.6099,2.09367,3.64483,-1.0403195402773135,68.30442933888872,-0.7507785452306356
256,73.2694,2.33305,4.03388,-1.1791166877065513,73.98063656700948,-0.7476492968910331
257,73.3426,2.06778,4.03121,-0.9128954889044454,74.0487688978072,-0.7624073661563977
258,73.4608,2.38452,3.82747,-1.2332406755694825,74.15829293975861,-0.9653578547371541
259,73.6122,2.1526,3.95922,-0.995392403360448,74.31424956776299,-0.8505857392705508
260,78.8138,2.40176,4.13511,-1.1571217307615012,79.51924577727921,-1.0281206408539738
261,78.957,2.17233,4.23132,-0.9228759038203026,79.66462672338967,-0.948158136711991
262,79.0334,2.57026,4.15713,-1.3214462445323742,79.74279040572854,-1.0168714779776753
263,79.2022,2.33242,4.21567,-1.079431703910755,79.91097118303199,-0.9764681925504682
264,84.9484,2.61009,4.55936,-1.2563809220861701,85.67122378039163,-1.0235518818592735
265,84.849,2.37011,4.70545,-1.0140545057493435,85.57785374616118,-0.877356830119617
266,84.8094,2.50319,4.32842,-1.1581306832645808,85.51482161797047,-1.247085207700168
267,84.876,2.23701,4.44635,-0.8877662992448151,85.58463575008612,-1.141142184755981
268,90.9205,2.66202,4.85862,-1.2053547609802828,91.64975707980645,-1.136545692180174
269,90.8659,2.39238,4.81159,-0.9380190647855923,91.58728765874336,-1.1868239923915462
270,91.0906,2.65171,4.62526,-1.19881373087173,91.80322187797617,-1.3812965171999112
271,91.15,2.37446,4.74588,-0.917424625287964,91.86584271644378,-1.2724667935561156
272,96.7484,2.72055,5.01155,-1.1672609900158175,97.47452225294072,-1.38532531002673
273,96.9669,2.50529,5.01485,-0.9485563727846424,97.68888477247096,-1.4028469601318934
274,96.9675,2.89717,4.9818,-1.3411423059119443,97.69415709015512,-1.4254541421058402
275,97.1461,2.69728,5.11407,-1.134862275859239,97.87784844691126,-1.3111940893553755
276,102.193,2.85147,5.2753,-1.204527411311372,102.92584481661416,-1.4951742496137985
277,102.374,2.62416,5.28362,-0.9742342718907875,103.10293296213591,-1.5054171569883046
278,102.408,3.00962,5.39434,-1.3558945486333696,103.15127977288498,-1.3871278969214247
279,102.595,2.78397,5.34762,-1.128689000546608,103.33060276125228,-1.4526304591737058
280,106.359,2.92111,5.75543,-1.1948188615684994,107.11555910641536,-1.3024815917420431
281,106.632,2.78551,5.74548,-1.055236758042412,107.38478597153208,-1.3348713119424804
282,106.307,2.78879,5.49746,-1.0705309752567311,107.0436314267581,-1.5596586387646614
283,106.462,2.56987,5.62669,-0.8456887899304538,107.20323628133848,-1.4473036593820057
284,114.951,3.0503,6.03666,-1.179992164131366,115.7075269660751,-1.6125022952719643
285,114.947,2.76631,6.05299,-0.8957580336862191,115.69962667152821,-1.603472708561399
286,114.898,3.01236,5.75087,-1.1508221706406452,115.63436368822266,-1.8948506863664432
287,115.051,2.74966,5.80662,-0.8842879062510152,115.78615219643926,-1.856796945687433
288,120.843,3.00322,6.16564,-1.0359892120649274,121.5927149759906,-1.8923979982453032
289,121.087,2.8451,6.18774,-0.8734710064029637,121.83481664389996,-1.8914183942800582
290,120.996,3.23869,6.12143,-1.2701383977899852,121.74646600196604,-1.9408172695717703
291,121.233,3.08731,6.21781,-1.1124116056832598,121.98680533895998,-1.865098903602548
292,126.823,3.16005,6.49347,-1.0888936508086255,127.58294882515474,-1.9746640938697086
293,126.819,2.87675,6.47527,-0.8063049703797488,127.57268966518923,-2.0000514397386273
294,126.877,3.15754,6.20791,-1.0934335225588265,127.61715968701317,-2.263239595593947
295,127.042,2.91125,6.29078,-0.8423600420255969,127.78307099717607,-2.1985345298497405
296,132.876,3.2465,6.67664,-1.0743012256478277,133.6348184438986,-2.2081058001969494
297,133.075,3.0693,6.68967,-0.893676950653629,133.83107253817695,-2.2135668130879393
298,133.04,3.43937,6.53902,-1.2682833758594758,133.79237275547922,-2.3515689160198936
299,133.272,3.27167,6.65027,-1.0939125215601198,134.02845661165145,-2.261108590319877
300,138.74,3.31387,6.88655,-1.0428936182159394,139.49966203000906,-2.4023226832282054
301,138.95,3.15826,6.94495,-0.8824181738405305,139.71038640563984,-2.3627259489243153
302,138.88,3.5566,6.92864,-1.2821163238820532,139.64650042891202,-2.363587651262383
303,139.119,3.38116,6.99523,-1.1011346740629,139.88636283116028,-2.3183539015122148
304,144.685,3.43344,7.18343,-1.0599684024787324,145.45219857045134,-2.5140227536930384
305,144.884,3.24086,7.20876,-0.8636314851655333,145.64902477437028,-2.507625437784642
306,144.879,3.64262,7.1451,-1.2670284346057332,145.6467843303646,-2.5601094810073044
307,145.092,3.44128,7.1879,-1.0612305267772009,145.8586196992277,-2.537490169964276
308,149.263,3.63197,7.49947,-1.1770969384062955,150.0438915486855,-2.510029984386026
309,149.333,3.35688,7.49459,-0.9011726233528075,150.1085061911853,-2.52703124424765
310,149.47,3.69253,7.30575,-1.2397078085069548,150.23814109159156,-2.715920601039732
311,149.591,3.43138,7.37408,-0.9748816747111777,150.3589014683771,-2.663068338482733
312,-0.145369,-1.19959,0.784211,1.0982932233134872,0.4649696755046261,0.9925595690244106
313,-0.397673,-1.06666,0.735094,0.9600727596185628,0.21228340963730968,0.9645430120804878
314,0.00638235,-0.999012,0.695978,0.8977799252656036,0.6138340303616525,0.899399009994398
315,-0.23762,-0.834263,0.655138,0.7281173262548565,0.3705606403030375,0.8799068168691992
316,4.46649,-0.952797,1.09724,0.933379497714619,5.091084766348156,0.9924892135998619
317,4.48648,-1.1498,0.880845,1.1246091825719085,5.092674640704235,0.7700813493888281
318,4.6621,-0.801424,0.963369,0.7814779637210603,5.279691686833944,0.8494792300837769
319,4.50934,-0.902113,0.715994,0.8728473677239693,5.108545663201245,0.610671873511855
320,10.4209,-0.792631,1.28322,0.8728087528693464,11.04611165853697,0.7706197604682169
321,10.5191,-1.06866,1.30821,1.1509453159637262,11.140889763377077,0.7814323482234281
322,10.7075,-0.73344,1.23618,0.8168878386822425,11.329808690249163,0.7054680787157803
323,10.6967,-0.994854,1.0866,1.0738572490964315,11.304132881215118,0.550111808363305
324,16.5555,-0.865608,1.5218,1.0495740267542188,17.180355986564884,0.5825671589579502
325,16.3473,-0.825398,1.3039,1.00005338284415,16.958429957722643,0.3807230665275702
326,16.693,-0.641852,1.4315,0.8256114506106426,17.315273602405764,0.48894510515145084
327,16.5532,-0.667456,1.17809,0.8419723986139337,17.15797088865482,0.2452149089446157
328,22.7216,-0.821209,1.76091,1.1095369067519556,23.348137055697414,0.3959788164126712
329,22.4655,-0.893418,1.62969,1.1740182707173052,23.0823919021734,0.28090620820087725
330,22.6828,-0.549949,1.68577,0.8357201236800179,23.309081221915257,0.33092146974286246
331,22.4306,-0.620725,1.55458,0.8988318545670169,23.04725369895206,0.21564720583540797
332,28.5638,-0.637663,2.15205,1.0294986407194369,29.205738545107135,0.38708269638203796
