id,x,y,z,x_transformed,y_transformed
146,58.1277,3.27301,3.27198,-2.377663800871039,58.857651752077366
147,58.3307,3.05541,3.2697,-2.15662444559099,59.05690125249677
148,63.9627,3.18942,3.40887,-2.194311275483986,64.690369312489
149,64.1442,3.00445,3.54096,-2.006264785715078,64.86867990831995
150,64.1715,3.39096,3.43524,-2.3922514637016326,64.90258498930945
151,64.3678,3.17403,3.48802,-2.171996576154668,65.09514692586929
152,69.9763,3.33861,3.64519,-2.240650771453964,70.70564114900753
153,70.079,3.11335,3.79762,-2.0136676015838666,70.80447433268449
154,70.2501,3.44157,3.63003,-2.338913914341048,70.98116166793481
155,70.349,3.20003,3.75683,-2.0957181022389304,71.0759170296617
156,76.0229,3.418,4.11394,-2.2166361937384473,76.75271462567022
157,76.1899,3.18691,4.05034,-1.9827243876026517,76.91573871913583
158,76.2607,3.57809,4.08935,-2.3726365607946795,76.9932172942174
159,76.427,3.33183,4.13452,-2.123568942133734,77.15528209278442
160,81.6395,3.47959,4.28546,-2.1821769418689394,82.3695466017988
161,81.8449,3.27349,4.26223,-1.9725948667787723,82.57139239392957
162,81.8393,3.68183,4.24039,-2.380970921954055,82.57277556401118
163,82.0509,3.48199,4.27501,-2.1775419156106866,82.78092749164614
164,87.6904,3.70254,4.4605,-2.3016278477743106,88.42337423343636
165,87.8206,3.48299,4.59623,-2.0798836107648135,88.54980103381143
166,87.9324,3.85956,4.52709,-2.4544868463805867,88.66802379289864
167,88.0607,3.61053,4.62567,-2.2032994082631325,88.79204678202561
168,93.6386,3.66597,4.87742,-2.1633528006586897,94.37007925523163
169,93.8368,3.47505,4.97935,-1.9690716215499513,94.56498566827163
170,93.8318,3.87523,4.9359,-2.369278610141442,94.56682921987935
171,94.0453,3.66879,4.93162,-2.159218079971193,94.77676801397084
172,102.162,3.87823,5.35406,-2.2298371099275016,102.89586260365313
173,102.339,3.65403,5.29915,-2.002643302873901,103.06900304963987
174,102.395,4.03539,5.42947,-2.382989982275872,103.13151587286754
175,102.57,3.82585,5.32249,-2.1704882305750375,103.30290728783362
176,106.229,3.9353,5.71742,-2.217355682123177,106.96324384947455
177,106.201,3.64372,5.68065,-1.9262970944752653,106.93026211276464
178,106.36,3.91172,5.44999,-2.1915391138954665,107.0938214938282
179,106.474,3.66506,5.58948,-1.942965850074428,107.20358709915773
180,111.662,4.00508,5.74145,-2.194224674736593,112.39664271251576
181,111.837,3.7755,5.78275,-1.9616858529777164,112.56769145637257
182,111.904,4.16382,5.71668,-2.3488034218708047,112.64132168287163
183,112.06,3.93224,5.82891,-2.114589780299557,112.79333900590403
184,117.65,4.12612,6.04344,-2.212856029901356,118.38583694498182
185,117.828,3.90756,5.97086,-1.9912842988965613,118.56007368513595
186,117.889,4.28605,6.08633,-2.3686759011222387,118.62753670218629
187,118.054,4.03665,6.05493,-2.1164909707077895,118.78824799883921
188,123.765,4.12911,6.22263,-2.111283026222335,124.49999403038808
189,123.954,3.9209,6.3053,-1.8998716890747631,124.685406140633
190,123.988,4.31679,6.24479,-2.295122429971113,124.72617063401741
191,124.163,4.09584,6.33846,-2.071212346465774,124.89736694532297
192,129.601,4.24034,6.49774,-2.1227049178811113,130.33704274127712
193,129.787,4.01765,6.53813,-1.8968669958476794,130.51920769145033
194,129.833,4.40729,6.44232,-2.285663458242331,130.57186355939876
195,130.006,4.19803,6.55508,-2.0734758643176843,130.74126005459414
196,135.816,4.47341,6.79727,-2.24946833975234,136.55511942621553
197,136.075,4.31587,6.78931,-2.0875226394406905,136.81138772653878
198,135.695,4.21723,6.86302,-1.9953948166362143,136.4297566037706
199,135.923,4.09197,6.72094,-1.8662544768964726,136.65558140367511
200,141.552,4.41762,7.01533,-2.0956045861932084,142.289326823009
201,141.753,4.20283,7.01258,-1.8774090187914845,142.4866246650302
202,141.762,4.60624,7.08309,-2.2806061441473293,142.5025214006946
203,141.962,4.3973,7.04618,-2.0682768208049294,142.6989194201575
204,149.156,4.67952,7.46611,-2.227442786457345,149.89669340409023
205,149.28,4.42517,7.50198,-1.9710096533828592,150.01632605331946
206,149.384,4.77865,7.32136,-2.322659639847542,150.12635512865586
207,149.533,4.54046,7.41596,-2.0819566601865374,150.27126044837297
208,-0.575003,0.925791,0.676937,-1.0345664360873803,0.12339542743423748
209,-0.379536,0.701796,0.644418,-0.8072618252407132,0.31500367882713903
210,-0.360969,1.09652,0.602433,-1.2016106309844548,0.34031749073852247
211,-0.166267,0.884323,0.687963,-0.9861153762227862,0.5313625921889487
