time,x,y,z,roll,pitch,yaw
1767717743.407218,77.777206,0.504033,0.298332,-0.013240,0.071039,-0.039756
1767717743.538908,77.784065,0.474044,0.369726,-0.008313,0.030903,-0.043339
1767717743.681978,78.157600,0.465726,0.396928,0.003657,0.019276,-0.044627
1767717743.812747,78.244682,0.456963,0.348830,0.010212,0.030164,-0.043445
1767717743.945805,78.524445,0.434125,0.331822,0.004503,0.032821,-0.027467
1767717744.086899,78.687737,0.461630,0.372681,0.019628,0.013479,-0.011869
1767717744.213096,78.839493,0.462059,0.370830,0.003273,0.034596,-0.014198
1767717744.344737,79.042030,0.468421,0.344379,0.002910,0.025230,-0.015387
1767717744.475365,79.267021,0.491139,0.330873,-0.001763,0.015585,-0.019880
1767717744.603225,79.460854,0.485173,0.373801,0.004860,0.029360,-0.018952
1767717744.734900,79.583092,0.481881,0.371759,-0.001805,0.016403,-0.021751
1767717744.874328,79.893616,0.470525,0.377658,0.005533,0.021027,-0.020599
1767717745.014751,79.965393,0.484746,0.399068,0.012954,0.007476,-0.021740
1767717745.158924,80.320961,0.464925,0.337262,0.004435,0.015820,-0.025163
1767717745.306499,80.471725,0.469667,0.411928,0.002236,0.019080,-0.023269
1767717745.439168,80.645607,0.484604,0.363375,0.007446,0.014470,-0.022655
1767717745.587533,80.886917,0.464311,0.363757,0.003826,0.007471,-0.029599
1767717745.730455,81.026352,0.468365,0.440012,0.002120,0.018179,-0.028728
1767717745.877722,81.265099,0.462931,0.416983,0.007723,0.016800,-0.024266
1767717746.028195,81.441956,0.471593,0.373059,0.003205,0.013438,-0.006244
1767717746.171620,81.742325,0.510143,0.401134,0.002960,0.019580,0.004244
1767717746.352085,82.073631,0.518580,0.362159,-0.010801,0.003729,-0.002496
1767717746.520598,82.163918,0.513548,0.484789,0.007138,-0.000363,0.006904
1767717746.672641,82.464485,0.542731,0.437085,0.000596,-0.001331,0.006597
1767717746.824491,82.623779,0.528620,0.421021,-0.001606,0.022245,0.010587
1767717746.980350,82.898788,0.544334,0.459652,-0.000459,0.026494,0.007293
1767717747.126663,83.085999,0.568177,0.398764,-0.008281,0.006934,0.000428
1767717747.288793,83.360382,0.567324,0.392585,-0.012783,0.017428,0.000653
1767717747.448459,83.500740,0.591005,0.470373,-0.013352,0.017205,0.002082
1767717747.623558,83.746033,0.607067,0.402514,-0.028719,0.013129,-0.008397
1767717747.822268,84.008850,0.595451,0.454330,-0.016812,0.004188,-0.011713
1767717748.010293,84.311417,0.604227,0.463896,-0.032675,-0.012582,-0.017751
1767717748.173404,84.583817,0.609679,0.443843,-0.017237,0.005696,-0.020317
1767717748.342001,84.812126,0.602402,0.473473,-0.018314,0.016949,-0.023372
1767717748.505369,85.102737,0.572812,0.395901,-0.000950,0.015253,-0.021656
1767717748.662063,85.364243,0.584347,0.422184,-0.000382,0.019838,-0.021435
1767717748.839190,85.511253,0.595918,0.461170,-0.007268,0.023595,-0.021592
1767717749.000111,85.804497,0.592704,0.456949,-0.006485,0.008176,-0.018062
1767717749.155777,85.967537,0.587023,0.479489,-0.002760,0.023986,-0.021194
1767717749.309738,86.204605,0.607215,0.494978,-0.005034,0.004872,-0.024270
1767717749.454979,86.328949,0.612943,0.498419,-0.008197,0.004362,-0.023946
1767717749.606626,86.564697,0.613729,0.468751,-0.008639,0.010659,-0.023345
1767717749.749753,86.856812,0.621964,0.450131,-0.014602,0.025766,-0.024044
1767717749.905628,87.142067,0.631414,0.458348,-0.000118,0.011669,-0.031752
1767717750.047801,87.230904,0.604496,0.515786,-0.011963,0.026147,-0.041727
1767717750.188489,87.538925,0.586492,0.507427,0.009234,0.018329,-0.041407
1767717750.344319,87.706764,0.574610,0.406992,0.001994,0.005868,-0.044073
1767717750.487324,88.044495,0.573981,0.490137,0.008147,0.015268,-0.042099
1767717750.634417,88.124390,0.585142,0.525639,0.011082,0.023645,-0.042806
1767717750.777730,88.367523,0.600320,0.486189,0.000655,0.012521,-0.037053
1767717750.918983,88.563766,0.566122,0.497388,0.008878,0.023207,-0.025521
1767717751.062201,88.957893,0.568713,0.503525,0.016348,0.037082,-0.024772
1767717751.216441,88.965576,0.582970,0.501509,0.006380,0.007868,-0.029243
1767717751.216713,89.101929,0.583603,0.513727,0.011127,0.018639,-0.022772
1767717751.425070,89.270653,0.584255,0.443461,0.008918,0.002669,-0.024360
1767717751.571168,89.532677,0.569253,0.506555,0.009289,0.003571,-0.022379
1767717751.708714,89.721695,0.588723,0.507108,0.003505,0.012255,-0.026704
1767717751.843594,89.869247,0.593530,0.501758,0.004501,0.009024,-0.032771
1767717751.989738,90.150032,0.579701,0.484260,0.004852,0.016099,-0.037003
1767717752.128197,90.324837,0.589524,0.548263,0.002270,0.034921,-0.040269
1767717752.283290,90.670830,0.579282,0.523901,0.005172,0.032608,-0.045982
1767717752.427304,90.787575,0.559401,0.547602,0.017205,0.013148,-0.046945
1767717752.558962,91.014549,0.548258,0.543545,0.018014,0.007022,-0.048758
1767717752.696384,91.108864,0.581298,0.488928,0.003524,0.008073,-0.034716
1767717752.832162,91.276482,0.569581,0.536186,0.010580,0.016413,-0.011930
1767717752.970649,91.605904,0.581259,0.544647,0.025249,0.014563,0.001894
1767717753.115840,91.771149,0.599429,0.517264,0.007027,-0.000622,-0.001027
1767717753.248089,91.924438,0.590509,0.551305,0.013256,0.002526,0.004570
1767717753.387333,92.194557,0.603475,0.557244,0.017627,0.006030,0.002833
1767717753.526448,92.328903,0.603338,0.541232,0.020533,0.010617,0.001062
1767717753.681885,92.688568,0.606086,0.503305,0.020224,0.002290,-0.013822
1767717753.829168,92.787117,0.562807,0.604330,0.029711,0.012176,-0.032962
1767717753.972091,93.010994,0.577513,0.586750,0.026319,0.016075,-0.035922
1767717754.116325,93.175972,0.580199,0.547915,0.020375,0.006368,-0.040047
1767717754.259601,93.422272,0.556416,0.545841,0.023291,0.009265,-0.045683
1767717754.407001,93.602058,0.574411,0.564188,0.022610,0.016795,-0.045779
1767717754.547681,93.755852,0.566676,0.554454,0.019016,0.023310,-0.048743
1767717754.686645,94.090958,0.560780,0.576976,0.024579,0.031776,-0.051482
1767717754.820025,94.219048,0.548054,0.625152,0.030949,0.009743,-0.050457
1767717754.956881,94.364891,0.551578,0.551313,0.028710,0.017755,-0.051293
1767717755.099225,94.633209,0.537049,0.605296,0.034773,0.020542,-0.051635
1767717755.249153,94.771858,0.545450,0.553046,0.038805,0.031038,-0.049397
1767717755.383808,95.135056,0.532232,0.564100,0.031503,0.025166,-0.051139
1767717755.520045,95.220421,0.512692,0.614716,0.041928,0.019780,-0.051447
1767717755.658316,95.357491,0.524938,0.554631,0.032736,0.014267,-0.058112
1767717755.793598,95.604858,0.527742,0.517359,0.033459,0.007764,-0.033511
1767717755.932849,95.792786,0.520182,0.649098,0.034020,0.007608,-0.030589
1767717756.069638,96.019562,0.529111,0.451241,0.032889,0.025216,-0.035061
1767717756.212287,96.254433,0.531908,0.519129,0.015751,0.059338,-0.045775
1767717756.351859,96.440422,0.537272,0.576047,0.016626,0.061362,-0.043626
1767717756.492079,96.736603,0.523698,0.530304,0.012863,0.038707,-0.045926
1767717756.633421,96.877373,0.527807,0.571414,-0.002884,0.028545,-0.046703
1767717756.766777,97.094139,0.538807,0.555493,0.007834,0.022348,-0.035995
1767717756.897936,97.299133,0.544175,0.566716,-0.001534,0.034463,-0.032044
1767717757.027633,97.463089,0.530547,0.554493,0.002854,0.037075,-0.030585
1767717757.151875,97.591301,0.525887,0.639869,0.012724,0.030698,-0.029430
1767717757.277404,97.856499,0.489879,0.673787,0.017530,-0.001593,-0.038612
1767717757.416732,97.972702,0.500844,0.586983,0.019767,0.007538,-0.049156
1767717757.547539,98.089317,0.499092,0.607104,0.025664,0.003523,-0.047193
1767717757.674772,98.256279,0.511866,0.537886,0.017559,0.011233,-0.047701
1767717757.801380,98.575256,0.497735,0.533807,0.024152,0.017377,-0.040369
1767717757.916927,98.691101,0.512800,0.618176,0.021224,0.028104,-0.029530
1767717758.031693,98.812897,0.502260,0.542088,0.029797,0.025755,-0.014677
1767717758.145949,99.017799,0.535452,0.609789,0.013062,0.023306,-0.009201
1767717758.262667,99.138351,0.537587,0.547600,0.006042,0.021522,-0.007194
1767717758.376838,99.429222,0.535158,0.545723,0.008237,0.022332,-0.002653
1767717758.490615,99.633133,0.553101,0.547749,0.001714,0.040872,-0.005615
1767717758.606790,99.723801,0.535802,0.591273,-0.001244,0.034023,-0.011495
1767717758.729402,99.895088,0.540026,0.544817,0.003368,0.058388,-0.016974
1767717758.863183,100.061363,0.516212,0.615266,0.007127,0.023634,-0.021111
1767717758.998281,100.288780,0.541011,0.594602,-0.002954,0.022627,-0.032267
1767717759.127725,100.451958,0.559536,0.540117,0.003255,0.040959,-0.025797
1767717759.250606,100.602989,0.552699,0.654850,-0.003566,0.022774,-0.021896
1767717759.371977,100.741333,0.548307,0.557837,0.006633,0.012584,-0.023618
1767717759.492100,100.999344,0.554968,0.568743,-0.002920,-0.022320,-0.028509
1767717759.614583,101.106941,0.565823,0.632183,-0.005029,0.006470,-0.028153
1767717759.733302,101.271774,0.588839,0.533400,-0.014213,0.005312,-0.022888
1767717759.872173,101.414780,0.583678,0.605669,-0.021068,0.028767,-0.015226
1767717760.005195,101.808968,0.602769,0.637287,-0.021973,0.029047,-0.013440
1767717760.135597,101.891464,0.632682,0.544717,-0.020733,0.026449,-0.000581
1767717760.267080,102.059715,0.657514,0.650463,-0.030785,0.025137,0.025173
1767717760.403988,102.314613,0.652096,0.639961,-0.022822,0.029649,0.031580
1767717760.548239,102.480438,0.657690,0.635480,-0.025935,0.004076,0.032584
1767717760.685128,102.758186,0.648338,0.605281,-0.002899,-0.023458,0.033678
1767717760.825170,102.947479,0.679804,0.599134,-0.007903,-0.005514,0.030493
1767717760.986885,103.173668,0.670621,0.598773,0.001949,0.044352,0.034162
1767717761.143193,103.305115,0.680399,0.614043,-0.002328,0.032891,0.034321
1767717761.295404,103.588913,0.692903,0.722367,-0.002356,-0.021414,0.026797
1767717761.444916,103.756226,0.672907,0.668482,0.004895,-0.033469,0.010956
1767717761.594909,103.956490,0.726461,0.660789,-0.018229,-0.009425,0.005922
1767717761.759324,104.176353,0.727538,0.657086,-0.021633,-0.007830,0.002215
1767717761.922517,104.407799,0.744423,0.641600,-0.029763,0.007905,-0.005708
1767717762.087105,104.691895,0.733753,0.615463,-0.037125,0.032474,-0.018193
1767717762.247661,104.848068,0.747591,0.785501,-0.034083,0.007987,-0.026022
1767717762.409047,105.091713,0.704773,0.728456,-0.023927,0.002270,-0.033960
1767717762.568036,105.288361,0.696629,0.719836,-0.025868,0.017671,-0.054664
1767717762.730337,105.422340,0.719740,0.660380,-0.026583,0.011423,-0.065411
1767717762.890582,105.860481,0.668147,0.640460,-0.007574,0.024772,-0.082221
1767717763.050321,105.968025,0.661684,0.695193,0.007764,0.027332,-0.079566
1767717763.226781,106.254883,0.670628,0.667550,0.001900,0.030243,-0.078272
1767717763.381577,106.547462,0.639499,0.700304,0.022171,0.018293,-0.047569
1767717763.535814,106.716095,0.629963,0.660049,0.015075,0.017298,-0.052230
1767717763.677931,106.889359,0.601939,0.717916,0.033858,0.017231,-0.050026
1767717763.822529,107.115387,0.600746,0.664053,0.023643,0.016788,-0.058709
1767717763.967254,107.251480,0.596912,0.703056,0.036480,0.031533,-0.052705
1767717764.114774,107.567291,0.606743,0.718655,0.031128,0.027935,-0.046306
1767717764.255542,107.740715,0.613181,0.612508,0.028654,0.041900,-0.045301
1767717764.396496,107.997688,0.600878,0.623911,0.029919,0.022335,-0.017979
1767717764.536049,108.175964,0.605152,0.672760,0.007164,0.031388,-0.020312
1767717764.677309,108.249092,0.614715,0.756636,0.014597,0.013524,-0.022347
1767717764.828290,108.574997,0.630092,0.613975,-0.002810,0.011777,-0.030950
1767717764.989780,108.742630,0.652220,0.661570,-0.017438,0.032601,-0.025346
1767717765.163740,109.016037,0.616233,0.651280,-0.002077,0.035362,-0.030467
1767717765.334322,109.300003,0.661586,0.623862,-0.014463,0.029038,-0.035844
1767717765.492342,109.571342,0.634804,0.631906,-0.006423,0.024115,-0.026379
1767717765.686012,109.720459,0.619545,0.711406,-0.000112,0.027106,-0.024095
1767717765.825099,110.024796,0.637716,0.765578,-0.000022,0.024281,-0.025748
1767717765.959127,110.126007,0.637978,0.689844,0.003263,0.012528,-0.024846
