"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a356","-0.939","-13.262","-0.28","-0.28","66.99288206402343","-5.164090764735356","1.6112178661508114"
"a360","-0.962","-19.312","-0.465","-0.465","73.03306099968609","-5.555857010390558","1.6146287227083125"
"a370","-0.99","-30.962","-0.099","-0.099","84.64354748909435","-6.279591673743049","2.342675161014358"
"a374","-1.009","-36.932","-0.247","-0.247","90.60304835491846","-6.661800123665584","2.3805054537650765"
"a378","-1.012","-42.93","-0.355","-0.355","96.59026358591734","-7.028933131415128","2.4588899695541704"
"a382","-1.043","-51.317","-0.505","-0.505","104.96051959277742","-7.569025643962597","2.5699955837829425"
"a384","-1.059","-55.175","-0.552","-0.552","108.81005359889417","-7.818764781941219","2.643120810020736"
"a388","-1.054","-60.754","-0.78","-0.78","114.3833103791575","-8.15501975129419","2.5884265979477883"
"a392","-1.064","-66.752","-0.942","-0.942","120.3717136488628","-8.530215395922456","2.6129726288901294"
"a396","-1.059","-72.757","-1.086","-1.086","126.36747656016504","-8.890504897242664","2.655453056037633"
"a402","-1.078","-78.878","-1.96","-1.96","132.49933605787132","-9.296303206405012","1.9724414656012301"
"a406","-1.076","-84.886","-2.133","-2.133","138.498776334744","-9.660345971390877","1.9860880585548983"
"a410","-1.135","-90.897","-2.293","-2.293","144.49710419618128","-10.085187221236707","2.013922913228446"
"a414","-1.15","-98.343","-2.484","-2.484","151.93073087059287","-10.553339327354736","2.0545439793643565"
"a416","-1.882","51.235","1.031","1.031","2.547952882470078","-2.186581415042255","0.9355553342145511"
"a422","-2.039","43.587","0.844","0.844","10.174341916970576","-2.808557546133823","0.9890154764030525"
"a426","-2.067","37.507","0.69","0.69","16.24322014206794","-3.2065060552058413","1.0244283704736197"
"a440","-2.052","19.393","0.399","0.399","34.325064797512624","-4.290537691093003","1.2958528880880347"
"a443","-1.938","13.412","0.233","0.233","40.30418234335418","-4.541037856081225","1.3136304118340882"
"a447","-1.934","7.46","0.148","0.148","46.24524248504251","-4.897950237112633","1.4134449654257955"
"a451","-1.976","2.003","0.067","0.067","51.68952163665567","-5.270816083717706","1.5027174681678004"
"a453","-1.978","-1.813","0.043","0.043","55.497317848586306","-5.503590152974079","1.597270316292459"
"a457","-1.994","-10.379","-0.141","-0.141","64.0480916327778","-6.040193809388866","1.6796851663242576"
"a461","-2.012","-16.422","-0.362","-0.362","70.08266773822383","-6.42726556821871","1.6468114519595285"
"a475","-2.04","-33.926","-0.143","-0.143","87.5380503787138","-7.5072264388058665","2.409741587739954"
"a479","-2.071","-39.925","-0.258","-0.258","93.52476652256617","-7.902502766107755","2.481668203205046"
"a483","-2.068","-45.938","-0.416","-0.416","99.52880771273084","-8.265550199696115","2.5104422847899746"
"a487","-2.085","-51.317","-0.483","-0.483","104.89637142133724","-8.608480047327543","2.6108312964142075"
"a489","-2.069","-55.151","-0.527","-0.527","108.72382087342176","-8.82477564221019","2.6856304098598667"
"a493","-2.101","-63.8","-0.832","-0.832","117.36004616839372","-9.38476889150955","2.6499903309389596"
"a497","-2.111","-69.761","-1.014","-1.014","123.31213274257175","-9.75813035932691","2.6534002926770697"
"a507","-2.116","-81.932","-2.021","-2.021","135.48487087391945","-10.517732817831778","2.025096631485458"
"a515","-2.157","-93.876","-2.318","-2.318","147.4077104871561","-11.28540499643298","2.0999363484632254"
"a519","-2.176","-98.309","-2.489","-2.489","151.83444328068447","-11.575312542685964","2.067051863885182"
"a521","-2.944","51.171","1.014","1.014","2.5476045741031896","-3.250635527065954","0.9397654846558303"
"a525","-2.946","46.522","0.935","0.935","7.188124386206603","-3.5347787376074926","1.0052216484517282"
"a529","-2.952","40.497","0.847","0.847","13.201496578411245","-3.9061363459014307","1.104485966220773"
"a533","-2.963","34.517","0.712","0.712","19.171073145132205","-4.280705254593435","1.1554736774578016"
"a547","-2.966","16.392","0.34","0.34","37.26521750861859","-5.3849795422980025","1.3466177352486177"
"a552","-3.106","10.31","0.187","0.187","43.32923691978352","-5.8948023510033885","1.3851181863977209"
"a555","-3.028","1.911","0.048","0.048","51.71777787286014","-6.326620125595801","1.505617514621577"
"a557","-3.037","-1.907","0.049","0.049","55.52639547357862","-6.566002228816711","1.6253429511626607"
"a561","-3.051","-7.462","-0.062","-0.062","61.07105169422003","-6.917437309140928","1.6871715789976647"
"a565","-3.061","-13.481","-0.248","-0.248","67.08112412013708","-7.294378899113614","1.688385243066397"
"a569","-3.066","-19.47","-0.474","-0.474","73.06276634955813","-7.665317690793668","1.6486026836522534"
"a583","-3.079","-36.96","-0.204","-0.204","90.5035703824946","-8.728447007604164","2.461793768481259"
"a588","-3.234","-42.995","-0.368","-0.368","96.52011309557025","-9.250622334337017","2.4881131508381302"
"a591","-3.108","-51.318","-0.481","-0.481","104.83497662248271","-9.62943203074925","2.6313672702380746"
"a593","-3.118","-55.126","-0.551","-0.551","108.63567919572438","-9.87062438208958","2.6798461255153"
"a597","-3.145","-60.752","-0.781","-0.781","114.25393759394558","-10.241691027713866","2.6251916168051954"
"a601","-3.153","-66.741","-0.957","-0.957","120.23390206877048","-10.614626724983504","2.635431027639947"
"a615","-3.161","-84.904","-2.094","-2.094","138.38852704955855","-11.741438777569428","2.0633397717266884"
"a619","-3.21","-90.897","-2.261","-2.261","144.3697150253622","-12.155353512627045","2.0834392792813774"
"a623","-3.265","-98.332","-2.48","-2.48","151.79076699225388","-12.663319214094379","2.096460447661122"
